Name,Level Requirement,Stat Requirements,Gold Required,Item Requirement(s),Prerequisite(s),Learning Location,Description
Assail,1,3/3/3/3/3,-,-,-,Tutorial,A basic attack that deals a small amount of damage to an enemy immediately in front of you.
Assault,3,3/3/3/3/3,"1,000",Centipede's Gland (1),-,Mileth Special Skills Master,An assail dealing small amount of damage to an enemy in front of you.
Stab,3,3/3/3/3/3,"1,000",Viper's Gland (1),-,Mileth Special Skills Master,Deals minor damage to an enemy in front of you.
Inspect,3,3/5/5/3/3,"2,000",-,-,Mileth Special Skills Master,Allows an aisling to study an item's attributes.
Look,3,3/5/5/3/3,"2,000",-,-,Mileth Special Skills Master,Allows an aisling to study a map.
nis,3,3/5/5/3/3,"2,000",-,-,Rucesion Special Skills Master,Allows an aisling to check on Unora's current time.
Study Creature,6,3/5/4/3/5,"1,000",Mantis Eye (1),-,Suomi Special Skills Master,Allows the Rogue to study a creature's attributes.
Peek,8,3/8/5/3/3,"5,000",-,-,Rucesion Special Skills Master,Allows an aisling to look at another's inventory.
Throw Smokebomb,9,5/4/3/3/11,"2,000",Spider's Silk (1),-,Mileth Special Skills Master,Dalls all enemies within 3 spaces.
Throw Surigum,16,7/3/4/4/15,"5,000",Centipede's Gland (3),Assault (100),Mileth Special Skills Master,Deals minor damage to enemies up to four spaces in front of you.
Pierce,16,8/4/4/9/20,"20,000","Goblin's Skull (2), Royal Gold Ring (1)",-,Mileth Special Skills Master,Deals damage two tiles in front of you and adds AC to the target.
Sap Needle,20,6/7/11/5/19,"10,000","Raw Sapphire (3), Padded Gauntlet (1)",-,Mileth Special Skills Master,"Steals 10% mana from target. Restore up to 20% mana to group members."
Amnesia,24,6/12/12/6/12,"10,000","Giant Bat's Wing (3), Raw Beryl (2)",-,Mileth Special Skills Master,Removes the creature's focus.
Backstab,35,16/7/7/10/35,"15,000","Goblin's Skull (3)",-,Suomi Special Skills Master,Maneuvers behind a target directly in front of you and stabs them in the back. Replaces Stab.
Blitz,41,28/5/5/8/38,"10,000",Blossom Dagger (1),Throw Surigum (100),Mileth Special Skills Master,Second assail that deals damage to enemies four spaces in front of you. Replaces Throw Surigum.
Poison Bomb,41,20/10/10/12/38,"25,000","Hobgoblin's Skull (2), Moon Dagger (1)",-,Suomi Special Skills Master,Allows the rogue to throw a poison bomb that poisons enemies nearby.
Throw,50,5/9/5/3/3,"25,000",-,-,Abel Combat Skills Master,Allows an aisling to throw an entity away from them.
Smoke Screen,60,10/5/5/5/16,"25,000",Light Shield (1),Throw Smokebomb (100),Rucesion Special Skills Master,Dalls all enemies within 4 spaces.
Stab and Twist,60,34/11/6/17/51,"50,000","Chainmail Gauntlet (1), Succubus's Hair (1)",-,Suomi Special Skills Master,Deals damage to the target in front of you.
Barrage,71,28/10/9/24/66,"100,000","Faerie's Wing (2), Sun Dagger (1)",Blitz (100),Suomi Special Skills Master,Third assail that deals damage to enemies four spaces in front of you.
Trip,80,50/20/15/25/70,"75,000",Qualgeist Head (2),-,Suomi Special Skills Master,Pushes a monster away from you.
Sense,90,36/11/11/24/76,"50,000",Gruesomefly's Wing (2),Peek (100),Rucesion Special Skills Master,Allows the rogue to see another's stats.
Skewer,90,36/11/11/24/76,"150,000","Gruesomefly's Wing (2), Blood Dagger (1)",Pierce (100),Mileth Special Skills Master,Deals great damage three tiles in front of you and increases target AC. Replaces Pierce.
Assassin Strike,Master,3/3/3/3/3,-,-,-,Master,"Deals massive damage to a target based on your vitality. Chance to instantly kill normal monsters."
Midnight Slash,Master,3/3/3/3/3,-,-,Barrage (100),Master,Master Rogue assail.
Murderous Intent,Master,3/3/3/3/3,"-",-,-,Master Dungeon,Intimidates an enemy directly in front of you.
Shadow Figure,Master (Pure),3/3/3/3/3,-,-,-,Master,Allows the Rogue to obtain and keep a tactical advantage on an enemy. Pure only. Replaces Backstab.
Stab Twice,Master,50/18/11/28/88,"100,000",Strap Gauntlet (2),-,Suomi Special Skills Master,Deals moderate damage to the enemy in front of you.
Nightfall Strike,Master,90/20/15/45/130,"500,000",Direwolf Lock (5),-,Suomi Special Skills Master,Executes an enemy below 20% health. Does not work on bosses.
Frost Bomb,Master,90/35/25/30/135,"750,000",Ice Elemental Flame (5),-,Rucesion Special Skills Master,Suains all monsters within 4 spaces.
Killer Instinct,Master,75/60/40/40/120,"100,000",Grim Succubus's Hair (3),-,Suomi Special Skills Master,Allows the Rogue to study multiple creature's defense.
Essence Siphon,Master,130/65/75/60/215,"1,000,000",Porboss Claw (3),Sap Needle (100),Suomi Special Skills Master,Steals 10% mana from target. Restores up to 20% mana to group members. Deals damage equal to self restored mana.
Rupture,Master (Pure),3/3/3/3/3,-,-,-,Tauren,Causes the target to bleed. Pure only.
