Name,Level Requirement,Stat Requirements,Gold Required,Item Requirement(s),Prerequisite(s),Learning Location,Description
Spark,3,3/3/3/3/3,-,-,-,Becoming Priest,Attacks the enemy with base non-elemental damage.
beag ioc,3,3/3/5/3/3,500,-,-,Mileth Special Spells,"Restores a modest amount of health to the target, helping them recover."
beothaich,3,3/3/5/3/3,"1,000",-,-,Mileth Special Spells,"Revives the targeted ghost, granting them a second chance, although the spell has a lengthy cooldown period before it can be used again."
beag naomh aite,5,3/3/5/3/3,"1,000",Tomato (3),-,Suomi Priestess,Temporarily reduces the damage taken by the player by 8% for a brief duration.
beannaich,5,3/4/5/3/3,500,Spider's Eye (3),-,Suomi Priestess,Enhances the target's hit by 10.
armachd,5,3/5/7/4/3,"1,000",Apple (3),-,Mileth Special Spells,"Significantly reduces the target's armor class by 10, making them less vulnerable to incoming attacks."
fas deireas,8,3/6/10/3/3,"1,000",Bee's Sting (1),-,Suomi Priestess,"Enhances the target's attack damage by 6, boosting their offensive prowess and increasing the amount of damage they deal."
beag ioc comlha,11,3/3/10/3/3,"1,000",Centipede Gland (1),beag ioc (100),Mileth Special Spells,Slightly restores the health of the caster's group.
ao beag cradh,11,3/4/11/3/3,"2,500",Bee Sting (2),-,Mileth Special Spells,"Cleanses the target, lifting the burden of the dreaded Beag Cradh curse."
ao poison,11,3/5/11/3/3,"3,000","Apple (3), Spider's Eye (2)",-,Mileth Special Spells,Cleanses the body and restores the target to a healthy state.
Zap,11,3/12/8/4/3,"5,000",Raw Honey (3),Spark (100),Undine Black Magic,Unleashes a non-elemental attack.
ao dall,11,3/15/20/7/5,"5,000",Bat's Wing (1),-,Mileth Special Spells,Allows target to see again.
ioc,16,3/4/15/3/3,"2,000",Bat's Wing (2),beag ioc (100),Mileth Special Spells,"Restores a substantial amount of health to the target, significantly aiding their recovery."
poison,20,3/16/15/3/5,"10,000",Scorpion's Sting (2),-,Suomi Black Magic Master,"Inflicts a potent poison upon the target, causing ongoing damage over a period of time."
ao cradh,20,3/10/30/3/3,"10,000","Kobold's Skull (1), Mantis Eye (3)",ao beag cradh (100),Mileth Special Spells,"Liberates the target from the grip of the cradh curse, freeing them from its malevolent effects."
naomh aite,21,3/12/18/6/3,"10,000",Bat's Wing (3),beag naomh aite (100),Suomi Priestess,Temporarily reduces the damage taken by the player by 15% for a brief duration.
ioc comlha,30,3/5/25/3/3,"10,000","Giant Bat's Wing (2), Royal Silver Ring (1)","ioc (100), beag ioc comhla (100)",Mileth Special Spells,Moderately restores the health of the caster's group.
Quake,30,3/25/25/8/6,"15,000",Royal Silver Ring (1),-,Undine Black Magic,Inflicts damage in the vicinity of an ally over a duration of 10 seconds.
Motivate,30,5/20/30/8/6,"15,000",Raw Heartstone (2),-,Suomi Priestess,"Accelerates the target's attack speed, allowing them to assail more rapidly. Lasts for 2 minutes."
mor ioc,41,3/16/38/3/3,"15,000",Mythril Earrings (1),ioc (100),Piet Priestess,"Restores a generous amount of health to the target, greatly bolstering their well-being."
mor beannaich,41,5/20/35/5/9,"20,000","Mushroom (2), Raw Emerald (2)",beannaich (100),Suomi Priestess,Enhances the target's hit by 20.
Revive,41,3/22/40/5/5,"25,000",Mythril Earrings (1),beothaich (100),Mileth Special Spells,"Revives the targeted ghost, granting them a second chance. Slightly reduced cooldown."
mor naomh aite,41,3/25/42/10/5,"25,000","Royal Silver Ring (1), Padded Gauntlet (1)",naomh aite (100),Suomi Priestess,Temporarily reduces the damage taken by the player by 22% for a brief duration.
Self Revive,41,3/22/40/18/3,"25,000",Holy Kronos (1),Revive (100),Piet Priestess,"Empowers the Priest with the ability to resurrect themselves, granting them the means to overcome death."
Dachaidh,41,3/30/48/5/3,"10,000","Goblin's Skull (2), Raw Sapphire (2)",-,Piet Priestess,Teleports the caster to their home nation.
mor fas deireas,50,10/26/40/8/8,"25,000",Anemone Antenna (1),fas deireas (100),Suomi Priestess,"Enhances the target's attack damage by 12, boosting their offensive prowess and increasing the amount of damage they deal."
mor ioc comlha,56,3/30/58/8/3,"25,000","Pearl Chain Necklace (1), Mushroom (2)","mor ioc (100), ioc comlha (100)",Piet Priestess,Significantly restores the health of the caster's group.
ao mor cradh,60,3/20/60/3/3,"50,000","Gog's Maw (1), Red Tentacle (3)",ao cradh (100),Piet Priestess,"Dispels the oppressive Mor Cradh curse from the target, liberating them from its tormenting influence."
ard naomh aite,60,5/40/55/20/6,"50,000","Royal Silver Ring (2), Padded Gauntlet (3)",mor naomh aite (100),Suomi Priestess,Temporarily reduces the damage taken by the player by 30% for a brief duration.
dinarcoli,71,5/35/60/15/5,"50,000","Enchanted Earrings (1), Gremlin Ear (1)",-,Piet Priestess,"Awakens the target, freeing them from the grasp of pramh effects."
