Name,Level Requirement,Stat Requirements,Gold Required,Item Requirement(s),Prerequisite(s),Learning Location,Description
Arcane Bolt,3,3/3/3/3/3,"1,000",-,-,Mileth Special Spells Master,Attacks the enemy with base non-elemental damage.
Beag Athar,3,3/5/3/3/3,800,-,-,Mileth Special Spells Master,Attacks the enemy with weak wind.
Beag Creag,3,3/5/3/3/3,800,-,-,Mileth Special Spells Master,Attacks the enemy with weak earth.
Beag Sal,3,3/5/3/3/3,800,-,-,Mileth Special Spells Master,Attacks the enemy with weak water.
Beag Srad,3,3/5/3/3/3,800,-,-,Mileth Special Spells Master,Attacks the enemy with weak fire.
Beag Athar Lamh,10,3/10/7/3/3,"5,000","Bat's Wing (2), Raw Emerald (1)",Beag Athar (100),Mileth Special Spells Master,Attacks enemies on all sides of you with wind.
Beag Creag Lamh,10,3/10/7/3/3,"2,500","Raw Beryl (1), Wolf Teeth (2)",Beag Creag (100),Mileth Special Spells Master,Attacks enemies on all sides of you with earth.
Beag Sal Lamh,10,3/18/11/3/3,"2,500","Raw Sapphire (1), Wolf Fur (2)",Beag Sal (100),Mileth Special Spells Master,Attacks enemies on all sides of you with water.
Beag Srad Lamh,10,3/18/11/3/3,"2,500","Raw Ruby (1), Scorpion's Sting (2)",Beag Srad (100),Mileth Special Spells Master,Attacks the enemy with weak fire in all directions.
Beag Cradh,11,3/11/5/3/3,"2,500",Spider's Eye (3),-,Mileth Special Spells Master,"Curses the enemy, increases their armor class by 10."
Athar,11,3/14/7/3/5,"5,000",Mantis Eye (3),Beag Athar (100),Mileth Special Spells Master,Attacks the enemy with wind.
Creag,11,3/14/7/5/3,"5,000",Mantis Eye (3),Beag Creag (100),Mileth Special Spells Master,Attacks the enemy with earth.
Sal,11,4/14/7/4/4,"2,500",Mantis Eye (3),Beag Sal (100),Mileth Special Spells Master,Attacks the enemy with water.
Srad,11,5/14/7/3/3,"2,500",Centipede's Gland (3),Beag Srad (100),Mileth Special Spells Master,Attacks the enemy with fire.
Arcane Missile,21,3/25/17/5/5,"15,000",Exquisite Linen (3),Arcane Bolt (100),Mileth Special Spells Master,Attacks the enemy with base non-elemental damage.
Athar Lamh,27,3/23/12/3/9,"10,000","Royal Silver Ring (1), Wolf Fur (2)","Athar (100), Beag Athar Lamh (100)",Undine Black Magic Master,Attacks enemies on all sides of you with wind.
Creag Lamh,27,3/23/12/9/3,"10,000","Royal Silver Ring (1), Wolf Fur (2)","Beag Creag Lamh (100), Creag (100)",Undine Black Magic Master,Attacks enemies on all sides of you with earth.
Sal Lamh,27,6/23/12/6/6,"10,000","Royal Silver Ring (1), Wolf Fur (2)","Beag Sal Lamh (100), Sal (100)",Undine Black Magic Master,Attacks enemies on all sides of you with water.
Srad Lamh,27,9/23/12/3/3,"10,000",Goblin's Skull (3),"Beag Srad Lamh (100), Srad (100)",Undine Black Magic Master,Attacks the enemy with weak fire in all directions.
Cradh,30,3/32/15/5/6,"8,000",Giant Bat's Wing (2),Beag Cradh (100),Mileth Special Spells Master,"Curses the enemy, increasing their armor class by 20 and reducing their magic resistance by 10%."
Athar Meall,41,3/36/23/3/11,"20,000","Giant Bat's Wing (3), Pristine Emerald (1)","Athar (100), Athar Lamh (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with mild wind.
Creag Meall,41,3/36/23/11/3,"20,000","Goblin's Skull (3), Pristine Beryl (1)","Creag (100), Creag Lamh (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with mild earth.
Sal Meall,41,7/36/23/7/7,"20,000","Rock Fish (2), Pristine Sapphire (1)","Sal (100), Sal Lamh (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with mild water.
Srad Meall,41,11/36/23/3/3,"20,000","Scorpion's Tail (3), Pristine Ruby (1)","Srad (100), Srad Lamh (100)",Suomi Dark Magic Master,Attacks the enemy and surrounding enemies with mild fire.
