Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Loures Magi Skirt,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Magi Skirt,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Magi Skirt,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Magi Skirt,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Magi Skirt,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Magi Skirt,-,8,4,-5,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benusta,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Benusta,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Benusta,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Benusta,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Benusta,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Benusta,-,26,6,-11,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Stoller,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Stoller,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Stoller,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stoller,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Stoller,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Stoller,-,56,10,-21,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Lich Robe,-,60,7,-22,150,150,-,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Clymouth,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Clymouth,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Clymouth,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Clymouth,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Clymouth,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morrigu Magus Pellison,-,80,10,-25,-400,300,-,20,-,2,-,-,-,-,-,-,-,-,-,-,-,-
Refined Clymouth,-,86,10,-30,250,250,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clamyth,-,97,10,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Clamyth,-,97,10,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Clamyth,-,97,10,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Clamyth,-,97,10,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Clamyth,-,97,10,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Clamyth,-,99,10,-34,400,400,-,10,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Grand Master Mystic Cloak,-,Master,10,-42,1000,1500,-,40,-,3,3,-,-,-,-,-,-,-,10,-,-,-
Refined Wizard Master Dress,-,Master,10,-39,1000,500,-,20,-,2,1,1,-,-,-,-,-,-,5,-,-,-
Grand Master Mystic Cloak,-,Master,10,-42,2000,1000,-,40,1,1,1,1,1,5,-,-,5,-,5,-,5,-
Wizard Master Dress,-,Master,10,-38,1000,-500,-,20,2,-1,-2,1,-1,-,-,-,-,-,3,-,-,-
