Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Loures Scout Leather,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Scout Leather,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Scout Leather,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Scout Leather,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Scout Leather,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Scout Leather,-,8,4,-7,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dwarvish Leather,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Dwarvish Leather,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Dwarvish Leather,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Dwarvish Leather,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Dwarvish Leather,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Dwarvish Leather,-,26,6,-14,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Paluten,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Paluten,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paluten,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Paluten,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Paluten,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Paluten,-,56,9,-24,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Reiter Mail,-,60,5,-25,250,100,-,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Keaton,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Keaton,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Keaton,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Keaton,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Keaton,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Marauder Hide,-,80,20,-29,-300,-300,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-
Refined Keaton,-,86,13,-34,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bardocle,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Bardocle,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Bardocle,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Bardocle,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Bardocle,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Bardocle,-,99,18,-38,600,300,-,10,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Grand Master Shadow Plate,-,Master,12,-48,2000,1000,-,40,3,-,-,-,3,10,-,-,10,-,-,-,-,-
Refined Rogue Master Mantle,-,Master,12,-43,1000,500,-,30,1,-,-,-,1,5,-,-,5,-,-,-,-,-
Rogue Master Mantle,-,Master,12,-42,1000,-500,-,30,-1,-,-,-,-1,3,-,-,3,-,-,-,-,-
Grand Master Shadow Mail,-,Master,12,-46,2000,1000,-,40,1,1,1,1,1,5,5,-,5,-,5,-,5,-
