Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Leather Bliaut,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Leather Bliaut,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Leather Bliaut,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Leather Bliaut,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Leather Bliaut,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Leather Bliaut,-,8,4,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuirass,-,11,14,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Cuirass,-,11,14,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Cuirass,-,11,14,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Cuirass,-,11,14,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Cuirass,-,11,14,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cotehardie,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Cotehardie,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Cotehardie,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Cuirass,-,26,9,-16,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Cotehardie,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Cotehardie,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasmanium Hauberk,-,41,23,-20,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Kasmanium Hauberk,-,41,23,-20,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Kasmanium Hauberk,-,41,23,-20,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Kasmanium Hauberk,-,41,23,-20,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Kasmanium Hauberk,-,41,23,-20,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Kasmanium Hauberk,-,56,23,-26,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Surplice Blouse,-,56,24,-25,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Scarlet Carapace,-,60,20,-27,250,100,-,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Labyrinth Mail,-,71,35,-30,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Labyrinth Mail,-,71,35,-30,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Labyrinth Mail,-,71,35,-30,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Labyrinth Mail,-,71,35,-30,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Labyrinth Mail,-,71,35,-30,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Carnun Plate,-,80,35,-30,-800,-,-,20,2,-,-,-,-,5,-,-,-,-,-,-,-,-
Phoenix Mail,-,86,40,-36,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Phoenix Mail,-,86,38,-37,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Armor,-,97,40,-38,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Hy-Brasyl Armor,-,99,40,-40,600,300,-,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Master Warrior Armor,-,Master,40,-51,3000,500,10,30,2,-,-,2,2,10,-,-,10,-,-,-,-,-
Refined Warrior Master Dress,-,Master,40,-46,1500,250,5,30,1,-,-,-,1,5,-,-,5,-,-,-,-,-
Grand Master Warrior Armor,-,Master,40,-49,2000,1000,5,40,1,1,1,1,1,5,5,-,5,-,5,-,5,-
Warrior Master Dress,-,Master,40,-45,1000,-300,3,30,-2,-,-,-,-1,3,-,-,3,-,-,-,-,-
