Name,Location,Level,Weight,AC,Health,Mana,Attack Speed %,Magic Resist,STR,INT,WIS,CON,DEX,DMG,HIT,Set Bonus
Basic Heartstone Earrings,Jewelcrafting,11,1,-,50,50,-,5,-,-,1,-,-,-,-,-
Basic Sapphire Earrings,Jewelcrafting,11,1,-,-,100,-,-,-,1,-,-,-,-,2,-
Basic Emerald Earrings,Jewelcrafting,11,1,-,100,-,-,-,-,-,-,-,1,-,-,-
Basic Beryl Earrings,Jewelcrafting,11,1,-,100,-,-,-,-,-,-,1,-,1,1,-
Mythril Earrings,41-70 Bosses / Mythic,30,1,-,-,100,-,-,-,2,-,-,-,-,2,-
Hy-Brasyl Earrings,10-40 Bosses / Mythic,30,1,-,200,-,-,-,2,-,-,-,-,1,-,-
Iron Heartstone Earrings,Jewelcrafting,41,1,-,100,50,-,6,-,-,2,-,-,-,-,-
Iron Sapphire Earrings,Jewelcrafting,41,1,-,-,150,-,-,-,2,-,-,-,-,4,-
Iron Ruby Earrings,Jewelcrafting,41,1,-,200,-,-,-,2,-,-,-,-,3,-,-
Iron Emerald Earrings,Jewelcrafting,41,1,-,200,-,3,-,-,-,-,-,2,-,-,-
Iron Beryl Earrings,Jewelcrafting,41,1,-,200,-,-,-,-,-,-,2,-,2,2,-
Dark Aisling Earrings,Arena events / Cthonic Demise,70,1,-1,300,200,-,-,-,-,-,-,-,-,-,Dark Aisling
Enchanted Earrings,Mythic,71,1,-,150,300,-,5,-,2,-,-,-,-,4,-
Might Earrings,Mythic,71,1,-,450,-,-,5,2,-,-,-,-,3,-,-
Mythril Heartstone Earrings,Jewelcrafting,71,1,-,150,100,-,8,-,-,2,-,-,-,-,-
Mythril Sapphire Earrings,Jewelcrafting,71,1,-,-,200,-,-,-,2,-,-,-,-,5,-
Mythril Ruby Earrings,Jewelcrafting,71,1,-,300,-,-,-,2,-,-,-,-,4,-,-
Mythril Emerald Earrings,Jewelcrafting,71,1,-,300,-,4,-,-,-,-,-,2,-,-,-
Mythril Beryl Earrings,Jewelcrafting,71,1,-,300,-,-,-,-,-,-,2,-,3,3,-
Power Earrings,Mythic,80,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Salve Earrings,Mythic,80,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sacred Earrings,Limbo,Master,3,-,1000,1000,-,10,-,4,-,-,-,-,10,Forsaken
