Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Mystic Sword,-,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claidheamh,-,11,8,-,-,-500,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-
Good Claidheamh,-,11,8,-,-,-400,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-
Grand Claidheamh,-,11,7,-,-,-300,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-
Great Claidheamh,-,11,8,-,-,-300,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-
Good Hatchet,-,11,7,-,-,-,-,-,-,-,-,-,-,-,-,33,3,-,-,-,-,-
Grand Hatchet,-,11,7,-,-,-,-,-,-,-,-,-,-,-,-,39,5,-,-,-,-,-
Great Hatchet,-,11,7,-,-,-,-,-,-,-,-,-,-,-,-,36,4,-,-,-,-,-
Hatchet,-,11,7,-,-,-,-,-,-,-,-,-,-,-,-,30,2,-,-,-,-,-
Broad Sword,-,17,9,-,-,-500,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-
Good Broad Sword,-,17,9,-,-,-400,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-
Grand Broad Sword,-,17,8,-,-,-200,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-
Great Broad Sword,-,17,8,-,-,-300,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-
Good Harpoon,-,21,9,-,-,-,-,-,-,-,-,-,-,-,-,40,4,-,-,-,-,-
Grand Harpoon,-,21,8,-,-,-,-,-,-,-,-,-,-,-,-,48,6,-,-,-,-,-
Great Harpoon,-,21,8,-,-,-,-,-,-,-,-,-,-,-,-,44,5,-,-,-,-,-
Harpoon,-,21,9,-,-,-,-,-,-,-,-,-,-,-,-,36,3,-,-,-,-,-
Battle Sword,-,26,10,-,-,-750,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-
Good Battle Sword,-,26,10,-,-,-650,-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-
Grand Battle Sword,-,26,9,-,-,-500,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-
Great Battle Sword,-,26,9,-,-,-550,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-
Good Masquerade,-,31,14,-,-,-1100,-,-,-,-,-1,-,-,-,-,59,-,-,-,-,-,-
Grand Masquerade,-,31,14,-,-,-500,-,-,-,-,-1,-,-,-,-,70,-,-,-,-,-,-
Great Masquerade,-,31,14,-,-,-900,-,-,-,-,-1,-,-,-,-,64,-,-,-,-,-,-
Masquerade,-,31,14,-,-,-1250,-,-,-,-,-1,-,-,-,-,54,-,-,-,-,-,-
Good Scimitar,-,36,12,-,-,-,-,-,-,-,-,-,-,-,-,46,6,-,-,-,-,-
Grand Scimitar,-,36,10,-,-,-,-,-,-,-,-,-,-,-,-,55,8,-,-,-,-,-
Great Scimitar,-,36,11,-,-,-,-,-,-,-,-,-,-,-,-,50,7,-,-,-,-,-
Scimitar,-,36,13,-,-,-,-,-,-,-,-,-,-,-,-,42,5,-,-,-,-,-
Dragon Scale Sword,-,41,8,-1,-,-,-,10,-,-,-,-,-,-,-2,78,10,-,-,-,-,-
Bramble,-,41,10,-,-,-1500,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-
Good Bramble,-,41,10,-,-,-1300,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-
