Name,Class,Gender,Level,Materials
Fire Belt,Peasant,Both,4,5 Linen & 1 Raw Ruby
Sea Belt,Peasant,Both,4,5 Linen & 1 Raw Sapphire
Earth Belt,Peasant,Both,4,5 Linen & 1 Raw Beryl
Wind Belt,Peasant,Both,4,5 Linen & 1 Raw Emerald
Scout Leather,Rogue,M,8,3 Fine Linen
Cotte,Rogue,F,8,3 Fine Linen
Gardcorp,Wizard,M,8,3 Fine Linen
Magi Skirt,Wizard,F,8,3 Fine Linen
Cowl,Priest,M,8,3 Fine Linen
Gorget Gown,Priest,F,8,3 Fine Linen
Dobok,Monk,M,8,3 Fine Linen
Earth Bodice,Monk,F,8,3 Fine Linen
Leather Tunic,Warrior,M,8,3 Fine Linen
Leather Bliaut,Warrior,F,8,3 Fine Linen
Leather Gauntlet,Peasant,Both,9,8 Linen
Leather Beryl Gauntlet,Peasant,Both,11,2 Exquisite Linen & 1 Pristine Beryl
Leather Ruby Gauntlet,Peasant,Both,11,2 Exquisite Linen & 1 Pristine Ruby
Leather Sapphire Gauntlet,Peasant,Both,11,2 Exquisite Linen & 1 Pristine Sapphire
Leather Emerald Gauntlet,Peasant,Both,11,2 Exquisite Linen & 1 Pristine Emerald
Leather Heartstone Gauntlet,Peasant,Both,11,2 Exquisite Linen & 1 Pristine Heartstone
Fire Bronze Belt,Peasant,Both,20,2 Exquisite Linen & 1 Polished Bronze Bar & 2 Flawed Ruby
Sea Bronze Belt,Peasant,Both,20,2 Exquisite Linen & 1 Polished Bronze Bar & 2 Flawed Sapphire
Earth Bronze Belt,Peasant,Both,20,2 Exquisite Linen & 1 Polished Bronze Bar & 2 Flawed Beryl
Wind Bronze Belt,Peasant,Both,20,2 Exquisite Linen & 1 Polished Bronze Bar & 2 Flawed Emerald
Dwarvish Leather,Rogue,M,26,2 Exquisite Linen
Brigandine,Rogue,F,26,2 Exquisite Linen
Journeyman,Wizard,M,26,2 Exquisite Linen
Benusta,Wizard,F,26,2 Exquisite Linen
Galuchat Coat,Priest,M,26,2 Exquisite Linen
Mystic Gown,Priest,F,26,2 Exquisite Linen
Culotte,Monk,M,26,2 Exquisite Linen
Lotus Bodice,Monk,F,26,2 Exquisite Linen
Lorica,Warrior,M,26,2 Exquisite Linen
Cuirass,Warrior,F,26,2 Exquisite Linen
Bronze Beryl Gauntlet,Peasant,Both,26,1 Exquisite Linen & 1 Polished Bronze Bar & 1 Pristine Beryl
Bronze Ruby Gauntlet,Peasant,Both,26,1 Exquisite Linen & 1 Polished Bronze Bar & 1 Pristine Ruby
Bronze Sapphire Gauntlet,Peasant,Both,26,1 Exquisite Linen & 1 Polished Bronze Bar & 1 Pristine Sapphire
Bronze Emerald Gauntlet,Peasant,Both,26,1 Exquisite Linen & 1 Polished Bronze Bar & 1 Pristine Emerald
Bronze Heartstone Gauntlet,Peasant,Both,26,1 Exquisite Linen & 1 Polished Bronze Bar & 1 Pristine Heartstone
Dark Bronze Belt,Peasant,Both,30,2 Exquisite Linen & 1 Polished Bronze Bar & 2 Flawed Heartstone
Light Bronze Belt,Peasant,Both,30,2 Exquisite Linen & 1 Polished Bronze Bar & 2 Flawed Heartstone
Fire Iron Belt,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 2 Uncut Ruby
Sea Iron Belt,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 2 Uncut Sapphire
Earth Iron Belt,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 2 Uncut Beryl
Wind Iron Belt,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 2 Uncut Emerald
Dark Iron Belt,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 2 Uncut Heartstone
Light Iron Belt,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 2 Uncut Heartstone
Iron Beryl Gauntlet,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 1 Pristine Beryl
Iron Ruby Gauntlet,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 1 Pristine Ruby
Iron Sapphire Gauntlet,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 1 Pristine Sapphire
Iron Emerald Gauntlet,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 1 Pristine Emerald
Iron Heartstone Gauntlet,Peasant,Both,41,2 Exquisite Cotton & 1 Polished Iron Bar & 1 Pristine Heartstone
Paluten,Rogue,M,56,3 Exquisite Cotton
Corsette,Rogue,F,56,3 Exquisite Cotton
Lorum,Wizard,M,56,3 Exquisite Cotton
Stoller,Wizard,F,56,3 Exquisite Cotton
Mantle,Priest,M,56,3 Exquisite Cotton
Elle,Priest,F,56,3 Exquisite Cotton
Earth Garb,Monk,M,56,3 Exquisite Cotton
Moon Bodice,Monk,F,56,3 Exquisite Cotton
Kasmanium Armor,Warrior,M,56,3 Exquisite Cotton
Kasmanium Hauberk,Warrior,F,56,3 Exquisite Cotton
Fire Mythril Braid Belt,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 2 Pristine Ruby
Sea Mythril Braid Belt,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 2 Pristine Sapphire
Earth Mythril Braid Belt,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 2 Pristine Beryl
Wind Mythril Braid Belt,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 2 Pristine Emerald
Dark Mythril Braid Belt,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 2 Pristine Heartstone
Light Mythril Braid Belt,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 2 Pristine Heartstone
Mythril Beryl Gauntlet,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 1 Pristine Beryl
Mythril Ruby Gauntlet,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 1 Pristine Ruby
Mythril Sapphire Gauntlet,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 1 Pristine Sapphire
Mythril Emerald Gauntlet,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 1 Pristine Emerald
Mythril Heartstone Gauntlet,Peasant,Both,71,2 Exquisite Wool & 1 Polished Mythril Bar & 1 Pristine Heartstone
Keaton,Rogue,M,86,4 Exquisite Wool
Pebble Rose,Rogue,F,86,4 Exquisite Wool
Mane,Wizard,M,86,4 Exquisite Wool
Clymouth,Wizard,F,86,4 Exquisite Wool
Hierophant,Priest,M,86,4 Exquisite Wool
Dolman,Priest,F,86,4 Exquisite Wool
Wind Garb,Monk,M,86,4 Exquisite Wool
Lightning Garb,Monk,F,86,4 Exquisite Wool
Iplet Mail,Warrior,M,86,4 Exquisite Wool
Phoenix Mail,Warrior,F,86,4 Exquisite Wool
