Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Earth Bodice,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Earth Bodice,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Earth Bodice,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Earth Bodice,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Earth Bodice,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Earth Bodice,-,8,4,-11,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lotus Bodice,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Lotus Bodice,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Lotus Bodice,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Lotus Bodice,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Lotus Bodice,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Lotus Bodice,-,26,6,-18,100,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Moon Bodice,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Moon Bodice,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Moon Bodice,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Moon Bodice,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Moon Bodice,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Moon Bodice,-,56,8,-29,200,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Nagatier Cloak,-,60,5,-30,300,75,-,10,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Lightning Garb,-,71,11,-34,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Lightning Garb,-,71,11,-34,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Lightning Garb,-,71,11,-34,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Lightning Garb,-,71,11,-34,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Lightning Garb,-,71,11,-34,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Aosdic Pattern Walker,-,80,25,-34,-400,-200,-,20,-,-,-,2,-,5,-,-,-,-,-,-,-,-
Refined Lightning Garb,-,86,11,-40,550,100,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Sea Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Sea Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Sea Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sea Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Sea Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Sea Garb,-,99,14,-45,800,200,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monk Master Dress,-,Master,13,-49,1000,-600,-,30,-1,-,-,-,-1,3,-,-,3,-,-,-,-,-
Grand Master Virtue Armor,-,Master,10,-55,3000,500,-,40,2,-,-,2,2,10,-,-,10,-,-,-,-,-
Refined Monk Master Dress,-,Master,13,-50,2000,-,-,30,1,-,-,-,1,5,-,-,5,-,-,-,-,-
Grand Master Virtue Armor,-,Master,12,-53,2000,1000,-,40,1,1,1,1,1,5,5,-,5,-,5,-,5,-
