Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Dobok,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Dobok,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Dobok,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Dobok,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Dobok,-,3,4,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Dobok,-,8,4,-11,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Culotte,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Culotte,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Culotte,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Culotte,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Culotte,-,11,6,-12,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Culotte,-,26,6,-18,100,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Earth Garb,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Earth Garb,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Earth Garb,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Earth Garb,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Earth Garb,-,41,8,-23,150,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Earth Garb,-,56,8,-29,200,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Nagatier Cloak,-,60,5,-30,300,75,-,10,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Loures Wind Garb,-,71,11,-34,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Wind Garb,-,71,11,-34,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Wind Garb,-,71,11,-34,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Wind Garb,-,71,11,-34,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wind Garb,-,71,11,-34,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Aosdic Pattern Walker,-,80,25,-34,-400,-200,-,20,-,-,-,2,-,5,-,-,-,-,-,-,-,-
Refined Wind Garb,-,86,11,-40,550,100,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Mountain Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Mountain Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mountain Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Mountain Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Mountain Garb,-,97,14,-43,650,125,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Mountain Garb,-,99,14,-45,800,200,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monk Master Mantle,-,Master,13,-49,1000,-600,-,30,-1,-,-,-,-1,3,-,-,3,-,-,-,-,-
Grand Master Virtue Armor,-,Master,12,-55,3000,500,-,40,2,-,-,2,2,10,-,-,10,-,-,-,-,-
Refined Monk Master Mantle,-,Master,13,-50,2000,-,-,30,1,-,-,-,1,5,-,-,5,-,-,-,-,-
Grand Master Virtue Armor,-,Master,12,-53,2000,1000,-,40,1,1,1,1,1,5,5,-,5,-,5,-,5,-
