Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Gorget Gown,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Gorget Gown,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Gorget Gown,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Gorget Gown,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Gorget Gown,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Gorget Gown,-,8,4,-5,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Mystic Gown,-,11,5,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Mystic Gown,-,11,5,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mystic Gown,-,11,5,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Mystic Gown,-,11,5,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Mystic Gown,-,11,5,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Mystic Gown,-,26,5,-11,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Elle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Elle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Elle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Elle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Elle,-,56,7,-21,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Dark Cleric Robes,-,60,5,-22,150,150,-,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Dolman,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Dolman,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Dolman,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Dolman,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Dolman,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morrigu Disciple Pellison,-,80,10,-25,-400,400,-,20,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Refined Dolman,-,86,10,-30,250,250,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bansagart,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Bansagart,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Bansagart,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Bansagart,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Bansagart,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Bansagart,-,99,14,-34,400,400,-,10,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Grand Master Celestial Gown,-,Master,10,-42,1000,1500,-,40,-,3,3,-,-,-,-,-,-,-,-,-,10,-
Refined Sacred Dress,-,Master,10,-39,1000,500,-,20,-,1,2,1,-,-,-,-,-,-,-,-,5,-
Sacred Dress,-,Master,10,-38,1000,-500,-,20,1,-2,-,1,-1,-,-,-,-,-,-,-,3,-
Grand Master Celestial Gown,-,Master,10,-42,2000,1000,-,40,1,1,1,1,1,5,-,-,5,-,5,-,5,-
