Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Cowl,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Cowl,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Cowl,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Cowl,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Cowl,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Cowl,-,8,4,-5,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Galuchat Coat,-,11,5,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Galuchat Coat,-,11,5,-11,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Galuchat Coat,-,11,5,-11,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Galuchat Coat,-,11,5,-11,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Galuchat Coat,-,11,5,-11,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Galuchat Coat,-,26,5,-11,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Mantle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mantle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Mantle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Mantle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Mantle,-,41,7,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Mantle,-,56,7,-21,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Dark Cleric Robes,-,60,5,-22,150,150,-,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Hierophant,-,71,10,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Hierophant,-,71,10,-25,150,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Hierophant,-,71,10,-25,150,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Hierophant,-,71,10,-25,150,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Hierophant,-,71,10,-25,150,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Cthonic Disciple Robes,-,80,10,-25,-400,400,-,20,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Refined Hierophant,-,86,10,-30,250,250,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dalmatica,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Dalmatica,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Dalmatica,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Dalmatica,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Dalmatica,-,97,14,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Dalmatica,-,99,14,-34,400,400,-,10,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Grand Master Divine Robe,-,Master,10,-42,1000,1500,-,40,-,3,3,-,-,-,-,-,-,-,-,-,10,-
Refined Sacred Mantle,-,Master,10,-39,1000,500,-,20,-,1,2,1,-,-,-,-,-,-,-,-,5,-
Sacred Mantle,-,Master,10,-38,1000,-500,-,20,1,-2,-,1,-1,-,-,-,-,-,-,-,3,-
Grand Master Divine Robe,-,Master,10,-42,2000,1000,-,40,1,1,1,1,1,5,-,-,5,-,5,-,5,-
