Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Cotte,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Cotte,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Cotte,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Cotte,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Cotte,-,3,4,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Cotte,-,8,4,-7,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brigandine,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Brigandine,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Brigandine,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Brigandine,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Brigandine,-,11,6,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Brigandine,-,26,6,-14,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Corsette,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Corsette,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Corsette,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Corsette,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Corsette,-,41,9,-19,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Corsette,-,56,9,-24,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Reiter Mail,-,60,5,-25,250,100,-,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Loures Pebble Rose,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Pebble Rose,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pebble Rose,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Pebble Rose,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Pebble Rose,-,71,13,-29,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Female Marauder Hide,-,80,20,-29,-300,-300,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-
Refined Pebble Rose,-,86,13,-34,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagum,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Kagum,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Kagum,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Kagum,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Kagum,-,97,18,-36,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Kagum,-,99,18,-38,600,300,-,10,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Grand Master Shadow Plate,-,Master,12,-48,2000,1000,-,40,3,-,-,-,3,10,-,-,10,-,-,-,-,-
Refined Rogue Master Dress,-,Master,12,-43,1000,500,-,30,1,-,-,-,1,5,-,-,5,-,-,-,-,-
Rogue Master Dress,-,Master,12,-42,1000,-500,-,30,-1,-,-,-,-1,3,-,-,3,-,-,-,-,-
Grand Master Shadow Plate,-,Master,12,-46,2000,1000,-,40,1,1,1,1,1,5,5,-,5,-,5,-,5,-
