Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Leather Tunic,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Leather Tunic,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Leather Tunic,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Leather Tunic,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Leather Tunic,-,3,4,-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Leather Tunic,-,8,4,-9,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jupe,-,11,9,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Jupe,-,11,9,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Jupe,-,11,9,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Jupe,-,11,9,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Jupe,-,11,9,-10,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lorica,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Lorica,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Lorica,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Lorica,-,26,9,-16,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Lorica,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Lorica,-,26,9,-15,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasmanium Armor,-,41,23,-20,125,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chainmail,-,56,24,-25,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Chainmail,-,56,24,-25,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Chainmail,-,56,24,-25,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Kasmanium Armor,-,56,23,-26,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Chainmail,-,56,24,-25,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Chainmail,-,56,24,-25,150,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Scarlet Carapace,-,60,20,-27,250,100,-,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Iplet Mail,-,71,35,-30,300,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Carnun Plate,-,80,35,-30,-800,-,-,20,2,-,-,-,-,5,-,-,-,-,-,-,-,-
Loures Platemail,-,86,40,-36,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Platemail,-,86,40,-36,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Platemail,-,86,40,-36,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Iplet Mail,-,86,35,-37,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Platemail,-,86,40,-36,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Platemail,-,86,40,-36,400,175,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Plate,-,97,40,-38,450,225,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Hy-Brasyl Plate,-,99,40,-40,600,300,-,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Master Warrior Armor,-,Master,40,-51,3000,500,-,30,2,-,-,2,2,10,-,-,10,-,-,-,-,-
Refined Warrior Master Mantle,-,Master,40,-46,1500,250,-,30,1,-,-,-,1,5,-,-,5,-,-,-,-,-
Grand Master Warrior Armor,-,Master,40,-49,2000,1000,-,40,1,1,1,1,1,5,5,-,5,-,5,-,5,-
Warrior Master Mantle,-,Master,40,-45,1000,-300,-,30,-2,-,-,-,-1,3,-,-,3,-,-,-,-,-
