Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Gardcorp,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Gardcorp,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Gardcorp,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Gardcorp,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Gardcorp,-,3,4,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Gardcorp,-,8,4,-5,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journeyman,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Journeyman,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Journeyman,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Journeyman,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Journeyman,-,11,6,-6,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Journeyman,-,26,6,-11,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lorum,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Lorum,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Lorum,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Lorum,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Lorum,-,41,10,-16,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Lorum,-,56,10,-21,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Male Lich Robe,-,60,7,-22,150,150,-,10,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Loures Mane,-,71,18,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mane,-,71,18,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Mane,-,71,18,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Mane,-,71,18,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Mane,-,71,18,-25,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cthonic Magus Robes,-,80,21,-25,-400,300,-,20,-,2,-,-,-,-,-,-,-,-,-,-,-,-
Refined Mane,-,86,18,-30,250,250,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Duin-Uasal,-,97,28,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loures Duin-Uasal,-,97,28,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mileth Duin-Uasal,-,97,28,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rucesion Duin-Uasal,-,97,28,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suomi Duin-Uasal,-,97,28,-32,300,300,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refined Duin-Uasal,-,99,28,-34,400,400,-,10,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Grand Master Mystic Robe,-,Master,10,-42,1000,1500,-,40,-,3,3,-,-,-,-,-,-,-,10,-,-,-
Refined Wizard Master Mantle,-,Master,10,-39,1000,500,-,20,-,2,1,1,-,-,-,-,-,-,5,-,-,-
Grand Master Mystic Robe,-,Master,10,-42,2000,1000,-,40,1,1,1,1,1,5,-,-,5,-,5,-,5,-
Wizard Master Mantle,-,Master,10,-38,1000,-500,-,20,2,-1,-2,1,-1,-,-,-,-,-,3,-,-,-
