Name,LOC,ELE,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Earth Belt,-,Earth,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fire Belt,-,Fire,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leather Belt,-,-,4,1,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sea Belt,-,Water,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wind Belt,-,Wind,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Earth Belt,-,Earth,11,1,-,100,50,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-
Jeweled Fire Belt,-,Fire,11,1,-1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeweled Sea Belt,-,Water,11,1,-1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Jeweled Wind Belt,-,Wind,11,1,-1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Mythril Belt,-,-,20,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
Earth Bronze Belt,-,Earth,20,1,-,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Fire Bronze Belt,-,Fire,20,1,-,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Sea Bronze Belt,-,Water,20,1,-,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Wind Bronze Belt,-,Wind,20,1,-,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Dark Belt,-,Darkness,30,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Belt,-,-,30,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Light Belt,-,Holy,30,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Bronze Belt,-,Darkness,30,1,-,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Light Bronze Belt,-,Holy,30,1,-,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Dark Iron Belt,-,Darkness,41,1,-,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Earth Iron Belt,-,Darkness,41,1,-,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Fire Iron Belt,-,Fire,41,1,-,100,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
