Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Boots,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Chi Anklet,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grey Boots,-,11,2,-,-,-,-,5,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Cured Boots,-,24,2,-,-,-,-,5,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Green Boots,-,30,2,-,-,-,-,5,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Dust Boots,-,41,2,-,-,-,-,5,-,1,1,-,3,-,-,-,-,-,-,-,-,-
Fabulous Boots,-,41,2,-,-,-,-,5,3,-,1,-,3,-,-,-,-,-,-,-,-,-
Grace Boots,-,41,2,-,-,-,-,5,-,1,-,1,3,-,-,-,-,-,-,-,-,-
Grim Boots,-,41,2,-,-,-,-,5,3,-,-,1,1,-,-,-,-,-,-,-,-,-
Peace Boots,-,41,2,-,-,-,-,5,-,2,1,-,3,-,-,-,-,-,-,-,-,-
Pure Boots,-,41,2,-,-,-,-,5,3,1,-,-,3,-,-,-,-,-,-,-,-,-
Shion Boots,-,41,2,-,-,-,-,5,-,1,1,1,3,-,-,-,-,-,-,-,-,-
Silk Boots,-,41,2,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-
Star Boots,-,41,2,-,-,-,-,5,-,-,1,1,3,-,-,-,-,-,-,-,-,-
Tract Boots,-,41,2,-,-,-,-,5,1,-,-,1,3,-,-,-,-,-,-,-,-,-
Cordovan Boots,-,50,2,-,-,-,-,5,-,-,-,-,3,-,-,-,-,-,-,-,-,-
Lapis Boots,-,56,2,-,-,200,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saffian Boots,-,66,2,-,-,-,-,10,-,-,-,-,4,-,-,-,-,-,-,-,-,-
Magma Boots,-,82,2,-,-,-,-,10,-,-,-,-,4,-,-,-,-,-,-,-,-,-
Enchanted Boots,-,91,2,-,-,-,-,10,-,-,-,-,5,-,-,-,-,-,-,-,-,-
Hy-Brasyl Boots,-,Master,2,-1,1000,-,-,10,2,-,-,2,2,-,-,-,-,-,-,-,-,-
Mythril Boots,-,Master,2,-,-,500,-,10,-,2,2,-,2,-,-,-,-,-,-,-,-,-
Shinguards,-,Master,2,-2,800,400,-,10,2,2,2,2,2,-,-,-,-,-,-,-,-,-
Voidwalkers,-,Master,2,-3,1000,500,-,10,2,2,2,2,2,-,-,-,-,-,-,-,-,-
