Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Leather Gauntlet,-,9,1,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leather Bracer,-,11,1,-1,100,50,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Leather Beryl Gauntlet,-,11,1,-,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Leather Emerald Gauntlet,-,11,1,-,75,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Leather Heartstone Gauntlet,-,11,1,-,75,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Leather Ruby Gauntlet,-,11,1,-,75,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-
Leather Sapphire Gauntlet,-,11,1,-,75,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-
Padded Gauntlet,-,17,1,-1,100,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Beryl Gauntlet,-,26,3,-1,-,-300,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Bronze Emerald Gauntlet,-,26,3,-1,-,-300,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Bronze Gauntlet,-,26,3,-1,-,-300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Heartstone Gauntlet,-,26,3,-1,-,-300,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Bronze Ruby Gauntlet,-,26,3,-1,-,-300,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-
Bronze Sapphire Gauntlet,-,26,3,-1,-,-200,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-
Iron Gauntlet,-,33,3,-2,150,-500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chainmail Gauntlet,-,41,1,-2,250,-100,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
Dragon Scale Gauntlet,-,41,1,-2,250,200,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-
Iron Bracer,-,41,3,-2,300,100,-,-,1,-,-,1,-,3,-,-,-,-,-,-,-,-
Iron Beryl Gauntlet,-,41,3,-2,250,-500,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Iron Emerald Gauntlet,-,41,3,-2,150,-500,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Iron Heartstone Gauntlet,-,41,3,-2,150,-500,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-
