Name,LOC,ELE,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Earth Necklace,-,Earth,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fire Necklace,-,Fire,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sea Necklace,-,Water,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wind Necklace,-,Wind,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jade Necklace,-,-,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pearl Necklace,-,-,9,1,-,-,200,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Bone Earth Necklace,-,Earth,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bone Fire Necklace,-,Fire,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bone Sea Necklace,-,Water,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bone Wind Necklace,-,Wind,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amber Necklace,-,-,14,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Bone Necklace,-,-,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Bone Necklace,-,-,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Light Diamond Necklace,-,-,15,1,-1,-,-,8,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Pearl Chain Necklace,-,-,41,1,-,-,250,-,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Phoenix Necklace,-,-,41,1,-,-,100,-,-,-,1,-,-,-,-,4,-,-,-,-,-,-,-
Kanna Earth Necklace,-,Earth,41,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Kanna Fire Necklace,-,Fire,41,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Kanna Sea Necklace,-,Water,41,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Kanna Wind Necklace,-,Wind,41,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Sea Coral Necklace,-,Water,60,1,-,-,300,-,-,-,-,-,-,-,-,4,-,-,25,-,-,-,-
Fire Molten Necklace,-,Fire,70,1,-,500,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-
Sand Necklace,-,Earth,70,1,-1,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Polished Earth Necklace,-,Earth,71,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-
Polished Fire Necklace,-,Fire,71,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-
Polished Sea Necklace,-,Water,71,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-
Polished Wind Necklace,-,Wind,71,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-
Dark Skull Necklace,-,-,80,1,-,-500,250,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-
Leaf Necklace,-,Wind,80,1,-,200,400,-,-,-,-,-,-,-,-,5,-,-,-,-,25,-,-
Star Earth Necklace,-,Earth,97,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
Star Fire Necklace,-,Fire,97,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
Star Sea Necklace,-,Water,97,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
Star Wind Necklace,-,Wind,97,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
Forsaken Dark Necklace,-,-,Master,1,-,1500,-,-,-,-1,-,-,-1,-1,-,-,-,5,-,-,-,-,2
Sacred Light Necklace,-,-,Master,1,-,500,500,-,-,-,-1,-1,-1,-,-,12,-,-,-,5,-,5,2
Azurium Dark Necklace,-,Darkness,Master,1,-,-,500,-,-,-,1,1,1,-,-,8,-,-,-,3,-,3,-
Azurium Earth Necklace,-,Earth,Master,1,-,-,500,-,-,-,1,1,1,-,-,8,-,-,-,3,-,3,-
Azurium Fire Necklace,-,Fire,Master,1,-,-,500,-,-,-,1,1,1,-,-,8,-,-,-,3,-,3,-
Azurium Light Necklace,-,Holy,Master,1,-,-,500,-,-,-,1,1,1,-,-,8,-,-,-,3,-,3,-
Azurium Sea Necklace,-,Water,Master,1,-,-,500,-,-,-,1,1,1,-,-,8,-,-,-,3,-,3,-
Azurium Wind Necklace,-,Wind,Master,1,-,-,500,-,-,-,1,1,1,-,-,8,-,-,-,3,-,3,-
Crimsonite Dark Necklace,-,Darkness,Master,1,-,1000,-,-,-,1,-,-,1,1,-,-,-,3,-,-,-,-,-
Crimsonite Earth Necklace,-,Earth,Master,1,-,1000,-,-,-,1,-,-,1,1,-,-,-,3,-,-,-,-,-
Crimsonite Fire Necklace,-,Fire,Master,1,-,1000,-,-,-,1,-,-,1,1,-,-,-,3,-,-,-,-,-
Crimsonite Light Necklace,-,Holy,Master,1,-,1000,-,-,-,1,-,-,1,1,-,-,-,3,-,-,-,-,-
Crimsonite Sea Necklace,-,Water,Master,1,-,1000,-,-,-,1,-,-,1,1,-,-,-,3,-,-,-,-,-
Crimsonite Wind Necklace,-,Wind,Master,1,-,1000,-,-,-,1,-,-,1,1,-,-,-,3,-,-,-,-,-
