Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Beryl Ring,-,1,1,-,40,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Love Ring,-,1,1,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Small Ruby Ring,-,1,1,-,80,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
Ruby Ring,-,3,1,-,150,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-
Coral Ring,-,9,1,-,50,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Red Jade Ring,-,10,1,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Emerald Ring,-,11,1,-,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tristar Ring,-,11,1,-,350,250,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Beryl Ring,-,11,1,-,150,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Bronze Emerald Ring,-,11,1,-,100,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Bronze Heartstone Ring,-,11,1,-,100,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Bronze Ruby Ring,-,11,1,-,100,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-
Bronze Sapphire Ring,-,11,1,-,100,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-
Amethyst Ring,-,16,1,-,200,100,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Grave Ring,-,16,1,2,-250,-250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jade Ring,-,16,1,-,350,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Royal Gold Ring,-,20,1,-,400,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Royal Silver Ring,-,20,1,-,100,300,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Sparkle Ring,-,20,1,-,200,200,-,10,1,1,1,1,1,4,2,-,-,-,-,-,-,-
Talos Ring,-,30,1,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dragon Scale Ring,-,41,1,-,500,200,-,-,1,-,-,1,-,4,2,-,-,-,-,-,-,-
Iron Beryl Ring,-,41,1,-,350,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Iron Emerald Ring,-,41,1,-,250,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Iron Heartstone Ring,-,41,1,-,250,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Iron Ruby Ring,-,41,1,-,250,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-
Iron Sapphire Ring,-,41,1,-,250,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-
Ialtag's Eye,-,50,1,-,250,400,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-
Myanmar Ring,-,50,1,-,250,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Sonor Ring,-,50,1,-,500,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,-,-
Dark Aisling Ring,-,70,1,-,400,250,-,5,-1,1,1,-1,-1,3,3,-,-,-,-,-,-,-
Mythril Beryl Ring,-,71,1,-,500,100,-,5,-,-,-,2,-,2,1,-,-,-,-,-,-,-
Mythril Emerald Ring,-,71,1,-,250,100,-,5,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Mythril Heartstone Ring,-,71,1,-,250,100,-,9,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Mythril Ruby Ring,-,71,1,-,250,100,-,5,2,-,-,-,-,4,-,-,-,-,-,-,-,-
Mythril Sapphire Ring,-,71,1,-,250,100,-,5,-,2,-,-,-,-,2,-,-,-,-,-,-,-
Grand Emerald Ring,-,77,1,-,200,400,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,-
Grand Ruby Ring,-,77,1,-,600,-,-,-,1,-,-,-,-,6,-,-,-,-,-,-,-,-
Star Ring,-,86,1,-,500,300,-,-,1,1,-,-,-,6,3,-,-,-,-,-,-,-
Hy-Brasyl Beryl Ring,-,97,1,-,750,250,-,5,-,-,-,2,-,2,1,-,-,-,-,-,-,-
Hy-Brasyl Emerald Ring,-,97,1,-,500,250,-,5,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Hy-Brasyl Heartstone Ring,-,97,1,-,500,250,-,9,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Hy-Brasyl Ruby Ring,-,97,1,-,500,250,-,5,2,-,-,-,-,4,-,-,-,-,-,-,-,-
Hy-Brasyl Sapphire Ring,-,97,1,-,500,250,-,5,-,2,-,-,-,-,2,-,-,-,-,-,-,-
Azurium Beryl Ring,-,Master,1,-,500,500,-,5,-,1,1,3,-,2,4,-,-,-,3,-,-,-
Azurium Emerald Ring,-,Master,1,-,-,500,4,5,-,1,1,1,2,-,3,-,-,-,3,-,-,-
Azurium Heartstone Ring,-,Master,1,-,-,750,-,9,-,1,3,1,-,-,3,-,-,-,-,-,3,-
Azurium Ruby Ring,-,Master,1,-,-,500,-,5,2,1,1,1,-,4,3,-,-,-,3,-,-,-
Azurium Sapphire Ring,-,Master,1,-,-,750,-,5,-,3,1,1,-,-,5,-,-,-,3,-,-,-
Crimsonite Beryl Ring,-,Master,1,-,1500,-,-,5,1,-,-,3,1,7,1,-,3,-,-,-,-,-
Crimsonite Emerald Ring,-,Master,1,-,1000,-,-,5,1,-,-,1,3,5,-,-,3,-,-,-,-,-
Crimsonite Heartstone Ring,-,Master,1,-,1000,250,-,9,1,-,2,1,1,5,-,-,3,-,-,-,-,-
Crimsonite Ruby Ring,-,Master,1,-,1000,-,-,5,3,-,-,1,1,9,-,-,3,-,-,-,-,-
Crimsonite Sapphire Ring,-,Master,1,-,1000,250,-,5,1,2,-,1,1,5,2,-,3,-,-,-,-,-
Black Stone Ring,-,Master,1,1,300,-,-,-,-,-,-,-,2,-,-,-,4,-,-,-,-,-
Bonecharm Seal,-,Master,1,-,750,750,-,5,-,2,2,-5,-,-,7,-,-,-,7,-,7,-
Forsaken Ring,-,Master,1,-,1500,-,-,-3,1,-,-,1,1,8,-,-,5,-,-,-,-,-
Large Emerald Ring,-,Master,1,-1,1000,-,-,10,-,-,-,2,-,-,-,-,-,-,-,4,-,-
Nyx's Twilight Band,-,Master,1,1,750,375,-,-3,1,1,1,1,1,5,5,-,3,-,3,-,2,-
Ring Of Flames,-,Master,1,1,-500,500,-,-,-,2,-,-,-,-,6,-,-,-,4,-,-,-
Sacred Ring,-,Master,1,-,500,500,-,-3,-,1,1,-1,-,-,6,-,-,-,5,-,5,-
