Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Good Wooden Shield,-,3,4,-2,25,-200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Wooden Shield,-,3,4,-2,100,-50,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Great Wooden Shield,-,3,4,-2,50,-150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wooden Shield,-,3,4,-2,-,-250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Good Leather Shield,-,15,5,-4,125,-400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Leather Shield,-,15,4,-4,200,-200,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Great Leather Shield,-,15,4,-4,150,-300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leather Shield,-,15,5,-4,100,-500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bronze Shield,-,31,7,-6,150,-1000,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-
Good Bronze Shield,-,31,7,-6,200,-800,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-
Grand Bronze Shield,-,31,6,-6,350,-400,-,3,-,-,-,-,-,-1,-,-,-,-,-,-,-,-
Great Bronze Shield,-,31,6,-6,250,-600,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-
Good Gravel Shield,-,41,12,-9,350,-,-,10,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Grand Gravel Shield,-,41,11,-9,500,-,-,10,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Gravel Shield,-,41,12,-9,300,-,-,10,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Great Gravel Shield,-,41,11,-9,400,-,-,10,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Good Iron Shield,-,45,18,-8,300,-1600,-,5,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Grand Iron Shield,-,45,16,-8,500,-1000,-,7,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Great Iron Shield,-,45,17,-8,400,-1200,-,6,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Iron Shield,-,45,18,-8,250,-2000,-,5,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Good Light Shield,-,50,4,-5,-,-,-,10,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Grand Light Shield,-,50,4,-6,150,-,-,12,-,-,-,-,-,-,3,-,-,-,-,-,-,-
Great Light Shield,-,50,4,-6,75,-,-,11,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Light Shield,-,50,4,-5,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Good Mythril Shield,-,61,12,-10,350,-1600,-,11,-,-,-,-,-,-3,-,-,-,-,-,-,-,-
Grand Mythril Shield,-,61,12,-11,600,-1000,-,13,-,-,-,-,-,-3,-,-,-,-,-,-,-,-
Great Mythril Shield,-,61,12,-10,450,-1200,-,12,-,-,-,-,-,-3,-,-,-,-,-,-,-,-
Mythril Shield,-,61,12,-10,300,-2000,-,10,-,-,-,-,-,-3,-,-,-,-,-,-,-,-
Good Hy-Brasyl Shield,-,77,17,-12,500,-750,-,13,-,-,-,-,-,-4,-,-,-,-,-,-,-,-
Grand Hy-Brasyl Shield,-,77,15,-13,750,-250,-,20,-,-,-,-,-,-4,-,-,-,-,-,-,-,-
Great Hy-Brasyl Shield,-,77,16,-12,600,-500,-,16,-,-,-,-,-,-4,-,-,-,-,-,-,-,-
Hy-Brasyl Shield,-,77,18,-12,400,-1000,-,10,-,-,-,-,-,-4,-,-,-,-,-,-,-,-
Good Talgonite Shield,-,99,23,-15,2000,-,-,15,-,-,-,-,-,-8,-1,-,-,-,-,-,-,-
Grand Talgonite Shield,-,99,19,-17,3000,-,-,20,-,-,-,-,-,-4,-,-,-,-,-,-,-,-
Great Talgonite Shield,-,99,21,-16,2500,-,-,15,-,-,-,-,-,-6,-,-,-,-,-,-,-,-
Talgonite Shield,-,99,25,-15,1500,-,-,10,-,-,-,-,-,-12,-3,-,-,-,-,-,-,-
Captain's Shield,-,Master,18,-10,1000,1000,-,20,-,-,-,-,-,-12,-,-,3,-,-,-,-,-
Cathonic Shield,-,Master,20,-17,3000,1000,-,25,1,1,1,1,1,-12,-,-,-,-,-,-,-,-
Cursed Shield,-,Master,18,-8,-4000,-2000,-,-20,-2,-2,-2,-2,-2,20,-10,-,5,-,-,-,-,-
Nyx's Umbral Shield,-,Master,18,-9,1000,1000,-,15,2,2,2,2,2,-5,-,-,-,-,-,-,-,-
Good Captain's Shield,-,Master,16,-11,1500,1500,-,23,-,-,-,-,-,-11,-,-,4,-,-,-,-,-
Good Cathonic Shield,-,Master,12,-18,3500,1250,-,28,1,1,1,1,1,-10,-,-,-,-,-,-,-,-
Good Cursed Shield,-,Master,11,-9,-3000,-1500,-,-15,-2,-2,-2,-2,-2,21,-9,-,6,-,-,-,-,-
Good Nyx's Umbral Shield,-,Master,18,-10,1350,1350,-,18,3,3,3,3,3,-2,-,-,-,-,-,-,-,-
Grand Captain's Shield,-,Master,12,-12,2500,2500,-,30,-,-,-,-,-,-9,-,-,6,-,-,-,-,-
Grand Cathonic Shield,-,Master,10,-19,5000,2000,-,35,2,2,2,2,2,-6,-,-,-,-,-,-,-,-
Grand Cursed Shield,-,Master,9,-10,-1000,-500,-,-5,-1,-1,-1,-1,-1,24,-,-,8,-,-,-,-,-
Grand Nyx's Umbral Shield,-,Master,18,-12,2500,2500,-,25,5,5,5,5,5,4,-,-,2,-,2,-,-,-
Great Captain's Shield,-,Master,14,-11,2000,2000,-,26,-,-,-,-,-,-10,-,-,5,-,-,-,-,-
Great Cathonic Shield,-,Master,12,-18,4000,1500,-,32,1,1,1,1,1,-8,-,-,-,-,-,-,-,-
Great Cursed Shield,-,Master,10,-9,-2000,-1000,-,-10,-2,-2,-2,-2,-2,23,-8,-,7,-,-,-,-,-
Great Nyx's Umbral Shield,-,Master,18,-11,1750,1750,-,22,4,4,4,4,4,1,-,-,1,-,1,-,-,-
