Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Mystic Sword,The Exchange,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claidheamh,Mileth Weapon Shop,11,8,-,-,-500,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-
Good Claidheamh,Weaponsmithing,11,8,-,-,-400,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-
Grand Claidheamh,Weaponsmithing,11,7,-,-,-300,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-
Great Claidheamh,Weaponsmithing,11,8,-,-,-300,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-
Good Hatchet,Weaponsmithing,11,7,-,-,-,-,-,-,-,-,-,-,-,-,33,3,-,-,-,-,-
Grand Hatchet,Weaponsmithing,11,7,-,-,-,-,-,-,-,-,-,-,-,-,39,5,-,-,-,-,-
Great Hatchet,Weaponsmithing,11,7,-,-,-,-,-,-,-,-,-,-,-,-,36,4,-,-,-,-,-
Hatchet,Weaponsmithing,11,7,-,-,-,-,-,-,-,-,-,-,-,-,30,2,-,-,-,-,-
Broad Sword,Piet Weaponsmith,17,9,-,-,-500,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-
Good Broad Sword,Weaponsmithing,17,9,-,-,-400,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-
Grand Broad Sword,Weaponsmithing,17,8,-,-,-200,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-
Great Broad Sword,Weaponsmithing,17,8,-,-,-300,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-
Good Harpoon,Weaponsmithing,21,9,-,-,-,-,-,-,-,-,-,-,-,-,40,4,-,-,-,-,-
Grand Harpoon,Weaponsmithing,21,8,-,-,-,-,-,-,-,-,-,-,-,-,48,6,-,-,-,-,-
Great Harpoon,Weaponsmithing,21,8,-,-,-,-,-,-,-,-,-,-,-,-,44,5,-,-,-,-,-
