Name,LOC,LVL,WGT,AC,HP,MP,AS%,MR,STR,INT,WIS,CON,DEX,DMG,HIT,SKD,SKD%,SPD,SPD%,FHB,HB%,CDR%
Good Magus Ares,-,11,2,-,-,175,-,-,-,-,-,-,-,-,1,6,-,20,9,-,-,-
Grand Magus Ares,-,11,2,-,-,225,-,-,-,-,-,-,-,-,3,8,-,30,11,-,-,-
Great Magus Ares,-,11,2,-,-,200,-,-,-,-,-,-,-,-,2,7,-,25,10,-,-,-
Magus Ares,-,11,2,-,-,150,-,-,-,-,-,-,-,-,1,5,-,15,8,-,-,-
Good Magus Zeus,-,41,2,-,-,250,-,-,-,-,-,-,-,-,2,6,-,42,14,-,-,-
Grand Magus Zeus,-,41,2,-,-,350,-,-,-,-,-,-,-,-,4,10,-,58,18,-,-,-
Great Magus Zeus,-,41,2,-,-,300,-,-,-,-,-,-,-,-,3,8,-,50,16,-,-,-
Magus Zeus,-,41,2,-,-,200,-,-,-,-,-,-,-,-,1,5,-,35,12,-,-,-
Good Magus Diana,-,71,2,-,-,325,-,-,-,-,-,-,-,-,4,16,-,60,32,-,-,-
Grand Magus Diana,-,71,2,-,-,400,-,-,-,-,-,-,-,-,6,20,-,85,38,-,-,-
Great Magus Diana,-,71,2,-,-,350,-,-,-,-,-,-,-,-,5,18,-,70,35,-,-,-
Magus Diana,-,71,2,-,-,300,-,-,-,-,-,-,-,-,3,15,-,50,30,-,-,-
Good Oak Staff,-,97,2,-,100,800,-,-,-,-,-,-,-,-,6,22,-,95,43,-,-,-
Grand Oak Staff,-,97,2,-,200,900,-,-,-,-,-,-,-,-,7,28,-,125,50,-,-,-
Great Oak Staff,-,97,2,-,150,850,-,-,-,-,-,-,-,-,7,25,-,110,46,-,-,-
Oak Staff,-,97,2,-,100,800,-,-,-,-,-,-,-,-,5,20,-,80,40,-,-,-
Empowered Magus Orb,-,Master,2,2,2000,1000,-,-,-,3,1,-,-,-,5,49,-,300,43,150,21,2
Enchanted Magus Orb,-,Master,2,-,500,2000,-,-,-,1,3,-,-,-,4,137,29,275,39,137,29,2
Magus Orb,-,Master,2,3,-500,1200,-,-,2,-2,-1,-,-,-,4,49,-,250,37,125,23,-
Good Staff of Geolith,-,Master,3,-,2000,500,-,-,-,-,2,-,-,-,4,137,19,275,39,137,19,-
Good Staff of Ignatar,-,Master,3,1,450,1000,-,-,-,1,1,-,-,-,5,49,-,325,42,162,21,-
Good Staff of Theselene,-,Master,3,1,750,600,-,-,-,-,-,-,-,5,4,200,28,250,38,200,28,-
Grand Staff of Geolith,-,Master,2,-1,4000,500,-,-,-,1,4,-,-,-,6,162,22,325,45,162,22,2
Grand Staff of Ignatar,-,Master,2,-,1000,2000,-,-,-,2,2,-,-,-,7,49,-,375,50,182,25,2
Grand Staff of Theselene,-,Master,2,-,1500,1000,-,-,-,-,-,-,-,7,6,250,34,300,42,250,34,2
Great Staff of Geolith,-,Master,3,-,3000,500,-,-,-,-,3,-,-,-,5,150,21,300,42,150,21,-
Great Staff of Ignatar,-,Master,3,1,700,1400,-,-,-,2,1,-,-,-,6,49,-,350,45,175,22,-
Great Staff of Theselene,-,Master,3,1,1000,800,-,-,-,-,-,-,-,6,5,225,30,275,40,225,30,-
Staff of Geolith,-,Master,3,1,1000,500,-,-,-,-,1,-,-,-,4,125,18,250,37,125,18,-
Staff of Ignatar,-,Master,3,2,250,750,-,-,-,1,-,-,-,-,4,49,-,300,39,150,19,-
Staff of Theselene,-,Master,3,2,500,400,-,-,-,-,-,-,-,4,4,175,26,225,36,175,26,-
